week,verse,ref,encouragement
1,"不可叫人小看你年輕，總要在言語、行為、愛心、信心、清潔上，都作信徒的榜樣。",提摩太前書 4:12,新的一年！年紀並非限制，神賜給你獨特的影響力，讓我們一起成為同伴的榜樣。
2,"你的話是我腳前的燈，是我路上的光。",詩篇 119:105,面對課業與生活的抉擇時，上帝的話語就是我們最清晰的指南針。
3,"少年人用什麼潔淨他的行為呢？是要遵行你的話！",詩篇 119:9,在這個資訊爆炸的世界裡，唯有真理能保守我們的內心清澈明亮。
4,"你要專心仰賴耶和華，不可倚靠自己的聰明，在你一切所行的事上都要認定他，他必指引你的路。",箴言 3:5-6,把這星期的焦慮與期待交託給神，勇敢邁出步伐，祂必帶領你的前路。
5,"三股合成的繩子不容易折斷。",傳道書 4:12,一個人走得快，一群人走得遠！感謝神讓我們在小組中彼此扶持、一起成長。
6,"我靠著那加給我力量的，凡事都能做。",腓立比書 4:13,遇到困難與挑戰時，別忘了你的後盾是全能的神，靠著祂我們能勇敢面對。
7,"你們要先求他的國和他的義，這些東西都要加給你們了。",馬太福音 6:33,調整生活的優先順序，把神放在第一位，祂必看顧你所有的需要。
8,"教養孩童，使他走當行的道，就是到老他也不偏離。",箴言 22:6,從小建立讀經的習慣，將神的真理扎根在心中，這是一生最美好的祝福。
9,"神就是愛；住在愛裡面的，就住在神裡面，神也住在他裡面。",約翰一書 4:16,無論你本週感受如何，請記住上帝無條件愛你，你祂心中的寶貝。
10,"所以，我們不喪膽。外體雖然毀壞，內心卻一天新似一天。",哥林多後書 4:16,學習與生活雖然有疲憊的時候，但神的恩典能讓我們的內心每天都有新力量。
11,"應當毫無憂慮，只要凡事藉著禱告、祈求，帶著感謝，把你們所要的告訴神。",腓立比書 4:6,有壓力或煩惱嗎？現在就藉著禱告告訴神，把重擔卸給祂吧！
12,"神所賜、出人意外的平安必在基督耶穌裡保守你們的心懷意念。",腓立比書 4:7,願上帝那超越一切理解的平安，常駐在你的心中，帶給你寧靜與定見。
13,"我們愛，因為神先愛我們。",約翰一書 4:19,懂得去愛與分享，是因為我們已經白白領受了上帝豐盛的愛。
14,"你們是世上的光。城造在山上是不能隱藏的。",馬太福音 5:14,在學校和家庭中，用你的善良與誠實發光，讓身邊的人看見神的榮美。
15,"你們是世上的鹽。鹽若失了味，怎能叫它再鹹呢？",馬太福音 5:13,青少年可以成為校園裡的「調味料」，為周遭環境帶來和睦與正向的影響。
16,"這是我親愛的兒子，我所喜悅的。",馬太福音 3:17,你的價值不來自成績或別人的評價，而是因為你是神所喜悅的兒女。
17,"但那等候耶和華的必重新得力。他們必如鷹展翅上騰；他們奔跑卻不困倦，行走卻不疲乏。",以賽亞書 40:31,感到心累時，給自己一點安靜等候神的時間，祂會賜給你展翅高飛的力量。
18,"生氣卻不要犯罪；不可含怒到日落。",以弗所書 4:26,學習管理情緒，不讓情緒支配我們的行為，用寬容與溝通解決衝突。
19,"你們要追求與眾人和睦，並要追求聖潔；非聖潔沒有人能見主。",希伯來書 12:14,主動成為與人和睦的人，並在生活的小細節中守護自己的純潔。
20,"人指著你們拉扯、逼迫，刷刷說各樣惡言毀謗你們，你們就有福了！",馬太福音 5:11,堅持做對的事、堅持信仰可能會面臨誤解，但神都看在眼裡，祂必賞賜你。
21,"當孝敬父母，使你的日子在耶和華——你神所賜你的地上得以長久。",出埃及記 20:12,這星期主動向父母表達感謝或幫忙做家事，這是神所喜悅的順服。
22,"朋友乃時常親愛，弟兄為患難而生。",箴言 17:17,珍惜你的讀經小組夥伴與朋友，在彼此需要時伸出暖心的援助。
23,"掩蓋離間的，遮掩人過的；重複挑撥的，離間密友。",箴言 17:9,學習包容同伴的缺點，不在背後議論人，做一個值得信賴的好朋友。
24,"溫柔回答，使怒消退；言語暴戾，觸動怒氣。",箴言 15:1,學習控制說話的語氣，溫和的表達能化解衝突，帶來和平。
25,"回答柔和，使怒消退；言語暴戾，觸動怒氣。",箴言 15:1,說話是一門藝術，用鼓勵和建立人的話語來代替酸言酸語。
26,"生死在舌頭的權下，喜愛它的，必吃它所結的果子。",箴言 18:21,我們的語言有力量！這星期試著多說積極、祝福和感謝的話。
27,"你們要謹慎，小心防備一切的貪婪，因為人的生命不在於家道豐富。",路加福音 12:15,不與人盲目攀比物質，知足的心能帶來真正的快樂與自由。
28,"人心籌算自己的道路；惟耶和華指引他的腳步。",箴言 16:9,盡力做準備與規劃，同時學習把結果謙卑地交託在上帝的手中。
29,"萬物的結局近了。所以，你們要謹慎自守，警醒禱告。",彼得前書 4:7,在充滿誘惑的世界中保持清醒，透過穩定的禱告維持屬靈的敏銳度。
30,"最要緊的是彼此切實相愛，因為愛能遮掩許多的罪。",彼得前書 4:8,愛是小組的核心。讓我們互相包容、彼此接納，建立溫暖的屬靈大家庭。
31,"各人要照所得的恩賜彼此服事，作神百般恩賜的好管家。",彼得前書 4:10,神賜給你獨特的才能（音樂、傾聽、領導等），用來服事周遭的人吧！
32,"若有人在基督裡，他就是新造的人，舊事已過，都變成新的了。",哥林多後書 5:17,不要被過去的失敗限制，在基督裡每天都是嶄新的開始！
33,"我們曉得萬事都互相效力，叫愛神的人得益處。",羅馬書 8:28,不論順境或逆境，神都能化祝福為成長的養分，萬事都有祂的美意。
34,"誰能使我們與基督的愛隔絕呢？難道是患難嗎？是困苦嗎？",羅馬書 8:35,沒有任何困難或失敗能切斷上帝對你的愛，祂永遠與你同在。
35,"這道離你不遠，口裡承認，心裡相信，你就必得救。",羅馬書 10:9-10,勇敢堅定你的信仰，把上帝的真理不僅放在心中，也勇敢口裡承認。
36,"所以，弟兄們，我以神的慈悲勸你們，將身體獻上，當作活祭。",羅馬書 12:1,將你的學習、日常與生活獻給神，這就是最美的活祭與敬拜。
37,"不要效法這個世界，只要心意更新而變化，叫你們察驗何為神的善良、純全、可喜悅的旨意。",羅馬書 12:2,不盲目跟風流行文化，學習用神的眼光思考問題、做出智慧的選擇。
38,"愛人不可虛假；惡，要厭惡；善，要親近。",羅馬書 12:9,用真誠的心對待每一個人，擇善固執，堅守真理的底線。
39,"愛弟兄，要彼此親熱；恭敬人，要彼此推讓。",羅馬書 12:10,在團契與日常中，學習謙讓並尊榮身邊的弟兄姊妹與長輩。
40,"殷勤，不可懶惰；要心裡火熱，常常服事主。",羅馬書 12:11,擺脫拖延與懶惰，用熱情的態度面對神給你的每一項任務。
41,"在指望中要喜樂；在患難中要忍耐；禱告要恆切。",羅馬書 12:12,保持喜樂的心，面對考驗時展現韌性，讓禱告成為你的生活習慣。
42,"聖靈所結的果子，就是仁愛、喜樂、和平、忍耐、恩慈、良善、信實、溫柔、節制。",加拉太書 5:22-23,讓聖靈在我們生命中結出美好的果子，改變我們的性格與言行。
43,"我們行善，不可喪志；若不灰心，到了時候就要收成。",加拉太書 6:9,堅持做對的事有時很辛苦，但請不要放棄，神應許時候到了必有豐收。
44,"你們得救是本乎恩，也因著信；這並不是出於自己，乃是神所賜的。",以弗所書 2:8,救恩是神免費的禮物，因著這份恩典，我們能有平安與盼望。
45,"我們原是他的工作，在基督耶穌裡造成的，為要叫我們行善。",以弗所書 2:10,你是上帝獨一無二的傑作！祂在你生命中有美好的計畫與使命。
46,"污穢的言語一句不可出口，只要隨事說造就人的好話，叫聽見的人得益處。",以弗所書 4:29,遠離粗話與傷人的話，讓你的口成為傳遞祝福與鼓勵的管道。
47,"要常常喜樂，不住地禱告，凡事謝恩；因為這是神在基督耶穌裡向你們所定的旨意。",帖撒羅尼迦前書 5:16-18,保持感謝的心態，喜樂與禱告是克服逆境的妙藥。
48,"聖經都是神所吹氣的，對於教導、責備、規正、在義中的訓練，都是有益的。",提摩太後書 3:16,感謝神給我們這本寶貴的聖經，它是我們生命成長的最佳教科書。
49,"人若自潔，脫離卑賤的事，就必作貴重的器皿，成為聖潔，合乎主用。",提摩太後書 2:21,保持內心的純潔與乾淨，神預備要大大的使用你！
50,"同那清心禱告主的人追求公義、信德、仁愛、和平。",提摩太後書 2:22,感謝你的讀經小組！與一群清心愛主的同伴一起奔跑信仰路程。
51,"信就是所望之事的實底，是未見之事的確據。",希伯來書 11:1,信心不是憑眼見，而是單單相信神的應許與良善。
52,"我們既有這許多的見證人，像雲彩圍著我們，就當放下各樣的重擔，脫去容易纏累我們的罪，存心忍耐，奔那擺在前面的路程。",希伯來書 12:1,新的一年即將展開！讓我們卸下負擔，向著標竿勇敢前行！
